ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
10,0.000,0.000,0.000,0.000,{method '__exit__' of '_io._IOBase' objects}
9,0.003,0.000,0.003,0.000,{method 'read' of '_io.BufferedReader' objects}
76,0.000,0.000,0.000,0.000,{method 'write' of '_io.TextIOWrapper' objects}
76,0.000,0.000,0.000,0.000,{method 'flush' of '_io.TextIOWrapper' objects}
73,0.016,0.000,0.016,0.000,{method 'close' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'fileno' of '_io.TextIOWrapper' objects}
73,0.000,0.000,0.000,0.000,{built-in method now}
1,0.000,0.000,0.000,0.000,{built-in method utcfromtimestamp}
2661193,0.245,0.000,0.245,0.000,multiarray.py:346(where)
146,0.000,0.000,0.000,0.000,multiarray.py:669(result_type)
1330560,0.169,0.000,0.169,0.000,multiarray.py:741(dot)
1168,0.000,0.000,0.000,0.000,multiarray.py:892(bincount)
4693,0.001,0.000,0.001,0.000,multiarray.py:1080(copyto)
1,1.771,1.771,1.771,1.771,{built-in method _pickle.load}
580,0.000,0.000,0.001,0.000,numerictypes.py:283(issubclass_)
290,0.001,0.000,0.001,0.000,numerictypes.py:357(issubdtype)
481,0.002,0.000,0.003,0.000,numeric.py:67(zeros_like)
481,0.000,0.000,0.000,0.000,numeric.py:63(_zeros_like_dispatcher)
290,0.000,0.000,0.000,0.000,_dtype.py:24(_kind_name)
290,0.000,0.000,0.001,0.000,_dtype.py:330(_name_includes_bit_suffix)
290,0.001,0.000,0.002,0.000,_dtype.py:346(_name_get)
4212,0.011,0.000,0.017,0.000,numeric.py:274(full)
2661120,0.276,0.000,0.276,0.000,numeric.py:1125(_roll_dispatcher)
1330560,0.280,0.000,0.280,0.000,numeric.py:1216(<dictcomp>)
2661120/1330560,13.206,0.000,17.575,0.000,numeric.py:1129(roll)
1332896,0.437,0.000,0.654,0.000,numeric.py:1380(<listcomp>)
1332896,1.424,0.000,2.238,0.000,numeric.py:1330(normalize_axis_tuple)
1168,0.000,0.000,0.000,0.000,numeric.py:1389(_moveaxis_dispatcher)
1168,0.000,0.000,0.000,0.000,numeric.py:1455(<listcomp>)
1168,0.006,0.000,0.016,0.000,numeric.py:1393(moveaxis)
146,0.000,0.000,0.000,0.000,numeric.py:1855(isscalar)
144,0.000,0.000,0.000,0.000,shape_base.py:77(_atleast_2d_dispatcher)
144,0.000,0.000,0.000,0.000,shape_base.py:81(atleast_2d)
144,0.000,0.000,0.000,0.000,shape_base.py:207(_arrays_for_stack_dispatcher)
144,0.000,0.000,0.000,0.000,shape_base.py:215(_vhstack_dispatcher)
144,0.001,0.000,0.001,0.000,shape_base.py:219(vstack)
7609,0.012,0.000,0.041,0.000,fromnumeric.py:53(_wrapfunc)
13494,0.008,0.000,0.008,0.000,fromnumeric.py:72(<dictcomp>)
13494,0.030,0.000,0.104,0.000,fromnumeric.py:71(_wrapreduction)
3840,0.001,0.000,0.001,0.000,fromnumeric.py:1021(_argsort_dispatcher)
3840,0.006,0.000,0.035,0.000,fromnumeric.py:1025(argsort)
3769,0.001,0.000,0.001,0.000,fromnumeric.py:1136(_argmax_dispatcher)
3769,0.008,0.000,0.020,0.000,fromnumeric.py:1140(argmax)
2336,0.000,0.000,0.000,0.000,fromnumeric.py:1764(_ravel_dispatcher)
2336,0.002,0.000,0.005,0.000,fromnumeric.py:1768(ravel)
481,0.000,0.000,0.000,0.000,fromnumeric.py:2317(_any_dispatcher)
481,0.001,0.000,0.003,0.000,fromnumeric.py:2322(any)
8355,0.002,0.000,0.002,0.000,fromnumeric.py:2687(_max_dispatcher)
8355,0.011,0.000,0.067,0.000,fromnumeric.py:2692(max)
4658,0.001,0.000,0.001,0.000,fromnumeric.py:2831(_min_dispatcher)
4658,0.010,0.000,0.056,0.000,fromnumeric.py:2836(min)
146,0.000,0.000,0.000,0.000,fromnumeric.py:3172(_ndim_dispatcher)
146,0.000,0.000,0.000,0.000,fromnumeric.py:3176(ndim)
73,0.000,0.000,0.000,0.000,fromnumeric.py:3508(_std_dispatcher)
73,0.000,0.000,0.007,0.000,fromnumeric.py:3513(std)
481,0.000,0.000,0.003,0.000,_methods.py:61(_all)
73,0.000,0.000,0.000,0.000,_methods.py:67(_count_reduce_items)
73,0.003,0.000,0.006,0.000,_methods.py:135(_var)
73,0.000,0.000,0.006,0.000,_methods.py:204(_std)
146,0.000,0.000,0.001,0.000,_ufunc_config.py:33(seterr)
146,0.000,0.000,0.000,0.000,_ufunc_config.py:132(geterr)
73,0.000,0.000,0.000,0.000,_ufunc_config.py:426(__init__)
73,0.000,0.000,0.001,0.000,_ufunc_config.py:430(__enter__)
